[2021-05-21 12:17:13,198][iopath.fb.manifold][INFO] - Caching manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth ...
[2021-05-21 12:17:49,515][__main__][INFO] - Pair: pair_000031 lpips=0.4207206964492798
[2021-05-21 12:17:49,652][__main__][INFO] - Pair: pair_000031 ssim=0.6027458906173706
[2021-05-21 12:17:49,683][__main__][INFO] - Pair: pair_000032 l1=0.16900981962680817
[2021-05-21 12:17:49,686][__main__][INFO] - Pair: pair_000032 l1_masked=0.22661098837852478
[2021-05-21 12:17:49,687][__main__][INFO] - Pair: pair_000032 psnr=11.481203079223633
[2021-05-21 12:17:49,690][__main__][INFO] - Pair: pair_000032 psnr_masked=10.207511901855469
[2021-05-21 12:17:49,704][__main__][INFO] - Pair: pair_000032 lpips=0.5430221557617188
[2021-05-21 12:17:49,852][__main__][INFO] - Pair: pair_000032 ssim=0.5899105072021484
[2021-05-21 12:17:49,886][__main__][INFO] - Pair: pair_000033 l1=0.1956515908241272
[2021-05-21 12:17:49,888][__main__][INFO] - Pair: pair_000033 l1_masked=0.1956515908241272
[2021-05-21 12:17:49,889][__main__][INFO] - Pair: pair_000033 psnr=11.719193458557129
[2021-05-21 12:17:49,892][__main__][INFO] - Pair: pair_000033 psnr_masked=11.719193458557129
[2021-05-21 12:17:49,906][__main__][INFO] - Pair: pair_000033 lpips=0.7961196303367615
[2021-05-21 12:17:50,042][__main__][INFO] - Pair: pair_000033 ssim=0.5047033429145813
[2021-05-21 12:17:50,073][__main__][INFO] - Pair: pair_000034 l1=0.1273241937160492
[2021-05-21 12:17:50,076][__main__][INFO] - Pair: pair_000034 l1_masked=0.18070083856582642
[2021-05-21 12:17:50,077][__main__][INFO] - Pair: pair_000034 psnr=13.896803855895996
[2021-05-21 12:17:50,080][__main__][INFO] - Pair: pair_000034 psnr_masked=12.376310348510742
[2021-05-21 12:17:50,094][__main__][INFO] - Pair: pair_000034 lpips=0.4467122554779053
